Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep) 
 12/21  03:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,86.86043142722352,-44.6877277817159 
 12/21  03:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,89.24483603984501,-41.71935161907452 
 12/21  04:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,91.51770413157492,-38.749327607427134 
 12/21  04:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,93.70432964099214,-35.78231878282869 
 12/21  04:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,95.8255697701416,-32.82248634654091 
 12/21  04:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,97.89894010713007,-29.87365888515953 
 12/21  05:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,99.9394261493841,-26.93946074209368 
 12/21  05:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,101.96009211283702,-24.023412543694246 
 12/21  05:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,103.97254313324514,-21.129012682695826 
 12/21  05:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,105.98727998714779,-18.25980581109989 
 12/21  06:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,108.01397372845804,-15.419442557429836 
 12/21  06:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,110.06167942282131,-12.611733424310287 
 12/21  06:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,112.13900230520132,-9.84069892804776 
 12/21  06:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,114.25422540869472,-7.1106173724630795 
 12/21  07:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,116.41540449188201,-4.426071109539553 
