Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Radiant Temperature [C](Hourly),SPACE1-1:Zone Mean Radiant Temperature [C](Hourly),SPACE2-1:Zone Mean Radiant Temperature [C](Hourly),SPACE3-1:Zone Mean Radiant Temperature [C](Hourly),SPACE4-1:Zone Mean Radiant Temperature [C](Hourly),SPACE5-1:Zone Mean Radiant Temperature [C](Hourly),PLENUM-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE2-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE3-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE4-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE5-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Humidity Ratio [](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Humidity Ratio [](Hourly),SPACE1-1:Zone Air Relative Humidity [%](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Humidity Ratio [](Hourly),SPACE2-1:Zone Air Relative Humidity [%](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Humidity Ratio [](Hourly),SPACE3-1:Zone Air Relative Humidity [%](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Humidity Ratio [](Hourly),SPACE4-1:Zone Air Relative Humidity [%](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Humidity Ratio [](Hourly),SPACE5-1:Zone Air Relative Humidity [%](Hourly),HOT WATER LOOP HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),PLENUM-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE1-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE2-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE3-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE4-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE5-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),PLENUM-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE1-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE2-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE3-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE4-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE5-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE1-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE2-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE4-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE5-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),MAIN BOILER:Boiler Heating Rate [W](Hourly),MAIN BOILER:Boiler NaturalGas Rate [W](Hourly) 
 01/14  11:00:00,7.575,19.130263030394598,23.435418267541607,24.915305499039704,23.63770457920304,23.62056705430105,23.85473665881958,19.16558092301031,24.702155198863405,26.08555327605928,24.927176502430697,24.817517104769742,25.417297422890442,0.0,0.0,0.0,0.0,0.0,19.200898815626026,0.006393607669006455,46.96246505695031,25.96889213018521,0.012631141398600698,60.818224781277664,27.255801053078855,0.013464226013020199,59.982541701223994,26.216648425658356,0.012962799122575416,61.483257718930325,26.01446715523843,0.013135104574696512,63.029226562290134,26.979858186961305,0.012578324849291216,57.08669035153628,66.28217727746815,0.0,0.75,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  12:00:00,8.799999999999999,20.28634973657917,24.625445917291387,26.42574728663052,24.441655171675038,24.465025105006116,24.33640685178568,20.310851848147678,25.81338287477157,27.532806356441455,25.662476830164806,25.5935945975363,25.820446614627546,0.0,0.0,0.0,0.0,0.0,20.33535395971618,0.006393607669006455,43.77311473095723,27.00131983225175,0.015395164371549998,69.48575962363047,28.63986542625239,0.016771321182511827,68.64097630419454,26.883298488654574,0.015764096877866285,71.62348373893118,26.722164090066478,0.016037144082507795,73.52318655135596,27.304486377469416,0.01547537319903931,68.63788724562235,66.28217727746815,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  13:00:00,10.4625,21.455678169619294,25.277692839019853,26.357347355377144,24.61975463275641,24.716814669873735,24.23865418091885,21.45758641070607,25.084192486163417,25.87364409817721,24.67455253170616,24.669357099323705,24.471772133595003,0.10017811639085103,0.05910371965189046,0.0770565414482254,0.037398056745584676,0.14418913299923045,21.459494651792852,0.0063936076690064595,40.81890280032378,24.890692133306977,0.013427910602533216,68.28197206276894,25.389940840977275,0.013906619491782433,68.06136463339993,24.729350430655906,0.014007306362862144,71.98805914782326,24.62189952877368,0.014083451268770988,72.78039174504758,24.704890086271156,0.013841852048344174,71.24129023432894,66.28217727746816,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  14:00:00,10.7875,22.45909042371537,25.603492531288932,25.319616326176266,24.27704890673092,24.392322375354592,23.957788537038997,22.43116952649477,24.744339040111843,24.579546082958785,24.066839008275867,24.103936886339135,23.886894135726145,0.1356402713205189,0.05857193278722436,0.09934172892946783,0.04702310968205586,0.16801627876153075,22.403248629274174,0.006393607669006461,38.49778030440751,23.88518554893475,0.009327418503890076,51.096475335572805,23.8394758397413,0.009126973131294382,50.159281672211314,23.856629109820823,0.01036268975513208,56.79176043456044,23.815551397323674,0.010143167715671919,55.74309140871658,23.815999734413296,0.010479346646841236,57.56223027028506,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  15:00:00,10.6,23.33099342770387,25.35031979373356,24.718987982277373,24.135487654082592,24.246573945032445,24.038235026450707,23.298704852605795,24.58995114118475,24.295495265952837,23.99029173115067,24.08728382144693,23.924381615916154,0.12603520651376254,0.04700196560114167,0.08975298587009424,0.04700196560114167,0.16794687347078063,23.26641627750772,0.006393607669006464,36.497300571205926,23.829582488635936,0.00812010142383611,44.69303394059459,23.87200254962829,0.008191582912098753,44.95924307021965,23.845095808218744,0.009106998913944247,49.995838067862415,23.92799369786142,0.008948625754459583,48.88276309255629,23.8105282053816,0.009187566907071577,50.53817979999482,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  16:00:00,10.9125,23.86795377540098,26.094670753046124,24.379314725974577,24.07567667780524,24.606052846796647,24.09206110288266,23.85960697447402,24.98082287856485,24.10906609950896,23.94852031705652,24.2497920763176,23.95035293561827,0.16203334280758053,0.04691889064254541,0.08959715760226958,0.046918890642545424,0.167655285729985,23.851260173547043,0.0063936076690064665,35.21760366271786,23.86697500408358,0.007671801233549783,42.13819885454619,23.838817473043342,0.008023432061067369,44.115795142651216,23.8213639563078,0.008624300955700786,47.42802498364259,23.893531305838547,0.00840667487654351,46.04226202270116,23.808644768353883,0.008647187325146188,47.58918164417987,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  17:00:00,11.787499999999998,23.913301553007965,24.615125858906815,23.78348503528242,23.58575402579133,24.003203698445972,24.015766993316817,23.930937260538606,24.26716767059506,23.789484533435896,23.69862499810393,23.937353518304302,23.92105525800638,0.10269359046430183,0.03695045013029875,0.06845102779377846,0.03695045013029875,0.16011862268836802,23.948572968069247,0.006393607669006473,35.011328359122494,23.919209482283307,0.007635423142802663,41.80462282842233,23.795484031589368,0.008105551119004174,44.676530499293364,23.811495970416534,0.008512276489704968,46.842998930149875,23.871503338162633,0.00818920841317433,44.92508144491189,23.826343522695936,0.008306432490592897,45.690393097508306,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  18:00:00,11.8875,23.582262733326505,23.808083119874603,23.437042041980405,23.33258639961986,23.55454206506937,23.861746794668626,23.618814521692897,23.820542795971257,23.611881751352335,23.545004950672798,23.660492722395688,23.88076759700529,0.08557061859895675,0.029562076493090377,0.06845954855010908,0.033254865408568486,0.16012077721242637,23.655366310059293,0.006393607669006474,35.63552986606401,23.833002472067914,0.007706130226736542,42.40617078240075,23.786721460724266,0.008071183147434132,44.51222954515719,23.757423501725736,0.008371413985969627,46.227404333325566,23.766443379722016,0.008029138332592846,44.33782274284226,23.89978839934195,0.00786738833963979,43.10724212267572,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  19:00:00,11.325,22.900499885449427,22.984585781703828,22.907480378092075,22.868219323832662,22.929151044096553,23.345173197647963,22.979490412300542,23.267956712718032,23.198651632310597,23.243039152490983,23.244160007206446,23.45313240831058,0.053494195889497845,0.0230973688643306,0.01713730535001807,0.026798666988915962,0.13071327145645886,23.05848093915167,0.006393607669006478,36.94479408682774,23.551327643732254,0.00788153537828035,44.11153379531739,23.489822886529133,0.008235722047422414,46.234543891413885,23.61785898114932,0.00843386804282922,46.9602767705497,23.559168970316346,0.008151990845079208,45.58090145341324,23.5610916189732,0.007727264685138601,43.23238853111645,66.2821772774682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  20:00:00,10.7875,22.155069982476377,22.3655594201713,22.383461620173886,22.279100860461398,22.37551579247723,22.919323255625727,22.241258523177205,22.844860132139452,22.800826557759606,22.584147576596745,22.841577691363337,23.230842663769455,0.0,0.0,0.008577093072642912,0.0,0.028403604162427223,22.327447063878033,0.006393607669006478,38.6212592454175,23.324160844107595,0.008036124053748553,45.576488896122285,23.218191495345316,0.00833311851665114,47.540660473533634,22.889194292732086,0.00833933325433967,48.531127450376445,23.307639590249437,0.008314033374964181,47.17949650574444,23.542362071913175,0.007702572909600593,43.13824593216153,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
